#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
-3.0,1,1.572998
10.0,1,1.573799
-3.0,1,1.57404
5.0,1,1.574201
10.0,1,1.575379
5.0,1,1.575747
10.0,1,1.575921
-3.0,1,1.576099
10.0,1,1.576447
-3.0,1,1.576643
10.0,1,1.624561
10.0,1,1.633565
5.0,1,1.636089
10.0,1,1.636472
5.0,1,1.636743
10.0,1,1.63699
10.0,1,1.637317
10.0,1,1.638142
-3.0,1,1.639859
10.0,1,1.640167
-3.0,1,1.642398
-3.0,1,1.642671
10.0,1,1.642882
-3.0,1,1.643084
10.0,1,1.643366
-3.0,1,1.643584
10.0,1,1.643793
10.0,1,1.644004
10.0,1,1.644287
10.0,1,1.644612
5.0,1,1.645924
-3.0,1,1.646194
5.0,1,1.646503
-3.0,1,1.647096
10.0,1,1.6474
-3.0,1,1.647629
-3.0,1,1.647926
5.0,1,1.648354
10.0,1,1.648616
-3.0,1,1.648861
10.0,1,1.651629
-3.0,1,1.651945
5.0,1,1.652439
10.0,1,1.653917
-3.0,1,1.660626
-3.0,1,1.6611
10.0,1,1.661348
10.0,1,1.661561
10.0,1,1.661923
10.0,1,1.663312
10.0,1,1.665434
10.0,1,1.665874
10.0,1,1.667446
-3.0,1,1.667794
5.0,1,1.668021
-3.0,1,1.668316
10.0,1,1.668711
5.0,1,1.668946
-3.0,1,1.669172
10.0,1,1.669391
10.0,1,1.671815
-3.0,1,1.672028
10.0,1,1.67218
-3.0,1,1.672324
-3.0,1,1.672536
-3.0,1,1.672726
5.0,1,1.672938
10.0,1,1.673093
-3.0,1,1.673294
-3.0,1,1.673438
-3.0,1,1.674328
10.0,1,1.67452
10.0,1,1.674735
10.0,1,1.674882
10.0,1,1.675022
5.0,1,1.675157
-3.0,1,1.675344
10.0,1,1.675496
5.0,1,1.67563
10.0,1,1.675761
-3.0,1,1.676792
5.0,1,1.677077
10.0,1,1.677343
10.0,1,1.677773
5.0,1,1.678157
5.0,1,1.678394
10.0,1,1.678738
-3.0,1,1.681381
-3.0,1,1.682013
5.0,1,1.682365
-3.0,1,1.684476
-3.0,1,1.684758
-3.0,1,1.685097
10.0,1,1.685328
